Sequence,Word,Tag,T1_Raw,T1_Plot,T2_Raw,T2_Plot
7273,is,VERB,7,7,48.36,-48.36
7294,will,VERB,28,-28,193.45,193.45
7295,form,VERB,28,-28,193.45,193.45
7333,were,VERB,17,17,117.45,117.45
7339,s,VERB,3,3,20.73,-20.73
7357,quoted,VERB,35,35,241.81,241.81
7363,quoted,VERB,35,35,241.81,241.81
7371,is,VERB,7,7,48.36,-48.36
7375,will,VERB,28,-28,193.45,193.45
7377,be,VERB,15,15,16.48,-16.48
7382,quoted,VERB,35,35,241.81,241.81
7397,will,VERB,28,-28,193.45,193.45
7398,destroy,VERB,19,19,131.27,131.27
7407,ii,VERB,8,-8,55.27,55.27
7409,taught,VERB,25,25,172.72,-172.72
7428,animated,VERB,27,27,186.54,-186.54
7433,is,VERB,7,7,48.36,-48.36
7457,quoted,VERB,35,35,241.81,241.81
7474,becomes,VERB,39,39,269.44,269.44
7494,was,VERB,15,15,103.63,103.63
7516,i,VERB,4,-4,9.59,9.59
7532,ii,VERB,8,-8,55.27,55.27
7561,traced,VERB,23,23,158.90,-158.90
7568,sacred,VERB,25,25,172.72,-172.72
7577,means,VERB,17,17,117.45,117.45
7614,are,VERB,8,-8,55.27,55.27
7626,are,VERB,8,-8,55.27,55.27
7631,are,VERB,8,-8,55.27,55.27
7635,standing,VERB,32,-32,221.08,221.08
7654,made,VERB,18,-18,124.36,-124.36
7669,quoted,VERB,35,35,241.81,241.81
7688,identified,VERB,40,-40,276.35,-276.35
7709,being,VERB,33,33,227.99,227.99
7831,judged,VERB,47,47,324.71,-324.71
7844,follows,VERB,44,-44,303.99,303.99
7849,quoted,VERB,35,35,241.81,241.81
7863,quoted,VERB,35,35,241.81,241.81
7904,studied,VERB,26,-26,179.63,179.63
7928,explained,VERB,54,-54,373.07,373.07
7949,explained,VERB,54,-54,373.07,373.07
8017,races,VERB,19,19,131.27,131.27
8113,concerning,VERB,47,47,324.71,-324.71
8119,Breathed,VERB,34,-34,234.90,-234.90
8175,is,VERB,7,7,48.36,-48.36
8176,offered,VERB,38,-38,262.53,-262.53
8206,are,VERB,8,-8,55.27,55.27
8231,offers,VERB,34,-34,234.90,-234.90
8246,were,VERB,17,17,117.45,117.45
8270,ii,VERB,8,-8,55.27,55.27
8278,Missing,VERB,37,37,255.62,255.62
8339,see,VERB,5,5,34.54,-34.54
8362,embodied,VERB,44,-44,303.99,303.99
8374,known,VERB,33,33,227.99,227.99
8382,called,VERB,31,31,214.17,-214.17
8430,defined,VERB,31,31,214.17,-214.17
8435,known,VERB,33,33,227.99,227.99
8440,understood,VERB,35,35,241.81,241.81
8504,known,VERB,33,33,227.99,227.99
8528,known,VERB,33,33,227.99,227.99
8568,known,VERB,33,33,227.99,227.99
8589,known,VERB,33,33,227.99,227.99
8623,divided,VERB,42,-42,290.17,-290.17
8628,were,VERB,17,17,117.45,117.45
8662,is,VERB,7,7,48.36,-48.36
8665,is,VERB,7,7,48.36,-48.36
8714,is,VERB,7,7,48.36,-48.36
8737,is,VERB,7,7,48.36,-48.36
8745,reïncarnated,VERB,35,35,241.81,241.81
8750,incarnate,VERB,27,27,186.54,-186.54
8755,were,VERB,17,17,117.45,117.45
8768,deny,VERB,9,9,62.18,-62.18
8808,held,VERB,18,-18,124.36,-124.36
8810,be,VERB,15,15,16.48,-16.48
8811,ii,VERB,8,-8,55.27,55.27
8818,is,VERB,7,7,48.36,-48.36
8822,was,VERB,15,15,103.63,103.63
8827,Manifested,VERB,40,-40,276.35,-276.35
8829,become,VERB,36,-36,248.72,-248.72
8832,becomes,VERB,39,39,269.44,269.44
8948,define,VERB,25,25,172.72,-172.72
9197,ii,VERB,8,-8,55.27,55.27
9216,see,VERB,5,5,34.54,-34.54
9239,called,VERB,31,31,214.17,-214.17
9244,doing,VERB,27,27,186.54,-186.54
9328,are,VERB,8,-8,55.27,55.27
9333,become,VERB,36,-36,248.72,-248.72
9334,i,VERB,4,-4,9.59,9.59
9338,ii,VERB,8,-8,55.27,55.27
9360,do,VERB,9,9,26.96,-26.96
9362,worship,VERB,42,-42,290.17,-290.17
9363,i,VERB,4,-4,9.59,9.59
9379,identified,VERB,40,-40,276.35,-276.35
9418,knew,VERB,29,29,200.35,-200.35
9490,are,VERB,8,-8,55.27,55.27
9499,called,VERB,31,31,214.17,-214.17
9532,were,VERB,17,17,117.45,117.45
9691,symbolized,VERB,67,67,462.89,-462.89
9736,guided,VERB,34,-34,234.90,-234.90
9777,will,VERB,28,-28,193.45,193.45
9778,be,VERB,15,15,16.48,-16.48
9779,ii,VERB,8,-8,55.27,55.27
9798,develops,VERB,49,49,338.53,-338.53
9811,wished,VERB,28,-28,193.45,193.45
9813,have,VERB,22,-22,50.66,-50.66
9857,created,VERB,24,-24,165.81,165.81
9862,generated,VERB,31,31,214.17,-214.17
9877,composed,VERB,46,-46,317.80,317.80
9888,Breeding,VERB,45,45,310.89,-310.89
9904,gave,VERB,30,-30,207.26,207.26
9907,ii,VERB,8,-8,55.27,55.27
9921,representing,VERB,50,-50,345.44,345.44
9946,sacred,VERB,25,25,172.72,-172.72
9952,destroyed,VERB,26,-26,179.63,179.63
9972,generated,VERB,31,31,214.17,-214.17
9976,precedes,VERB,38,-38,262.53,-262.53
9982,s,VERB,3,3,20.73,-20.73
10022,committed,VERB,42,-42,290.17,-290.17
10033,produced,VERB,47,47,324.71,-324.71
10039,were,VERB,17,17,117.45,117.45
10058,ii,VERB,8,-8,55.27,55.27
10075,is,VERB,7,7,48.36,-48.36
10084,is,VERB,7,7,48.36,-48.36
10087,is,VERB,7,7,48.36,-48.36
10157,Animating,VERB,38,-38,262.53,-262.53
10194,derived,VERB,38,-38,262.53,-262.53
10207,quoted,VERB,35,35,241.81,241.81
10212,quoted,VERB,35,35,241.81,241.81
10216,destroyed,VERB,26,-26,179.63,179.63
10220,are,VERB,8,-8,55.27,55.27
10297,has,VERB,9,9,62.18,-62.18
10298,become,VERB,36,-36,248.72,-248.72
10304,given,VERB,34,-34,234.90,-234.90
10309,entered,VERB,17,17,117.45,117.45
10330,derived,VERB,38,-38,262.53,-262.53
10409,quoted,VERB,35,35,241.81,241.81
10420,appear,VERB,36,-36,248.72,-248.72
10483,is,VERB,7,7,48.36,-48.36
10519,precedes,VERB,38,-38,262.53,-262.53
10572,quoted,VERB,35,35,241.81,241.81
10573,ii,VERB,8,-8,55.27,55.27
10587,i,VERB,4,-4,9.59,9.59
10606,savages,VERB,38,-38,262.53,-262.53
10608,descended,VERB,34,-34,234.90,-234.90
10640,ii,VERB,8,-8,55.27,55.27
10642,could,VERB,29,29,200.35,-200.35
10643,live,VERB,27,27,186.54,-186.54
10652,traced,VERB,23,23,158.90,-158.90
10675,represented,VERB,39,39,269.44,269.44
10791,founded,VERB,34,-34,234.90,-234.90
10840,Missing,VERB,37,37,255.62,255.62
10852,extinct,VERB,35,35,241.81,241.81
10855,classed,VERB,30,-30,207.26,207.26
10938,called,VERB,31,31,214.17,-214.17
10954,will,VERB,28,-28,193.45,193.45
10955,swallow,VERB,42,-42,290.17,-290.17
10977,deny,VERB,9,9,62.18,-62.18
11044,worshipped,VERB,62,-62,428.34,-428.34
11051,has,VERB,9,9,62.18,-62.18
11052,been,VERB,18,-18,124.36,-124.36
11058,has,VERB,9,9,62.18,-62.18
11059,been,VERB,18,-18,124.36,-124.36
11070,become,VERB,36,-36,248.72,-248.72
11144,quoted,VERB,35,35,241.81,241.81
11145,ii,VERB,8,-8,55.27,55.27
11148,quoted,VERB,35,35,241.81,241.81
11150,quoted,VERB,35,35,241.81,241.81
11151,i,VERB,4,-4,9.59,9.59
11158,quoted,VERB,35,35,241.81,241.81
11206,became,VERB,35,35,241.81,241.81
11216,holding,VERB,38,-38,262.53,-262.53
11224,quoted,VERB,35,35,241.81,241.81
11225,i,VERB,4,-4,9.59,9.59
11244,called,VERB,31,31,214.17,-214.17
11259,explains,VERB,50,-50,345.44,345.44
11263,is,VERB,7,7,48.36,-48.36
11277,was,VERB,15,15,103.63,103.63
11306,opened,VERB,26,-26,179.63,179.63
11326,ii,VERB,8,-8,55.27,55.27
11328,see,VERB,5,5,34.54,-34.54
11391,Descended,VERB,34,-34,234.90,-234.90
11408,i,VERB,4,-4,9.59,9.59
11423,sacred,VERB,25,25,172.72,-172.72
11496,may,VERB,11,11,76.00,76.00
11497,have,VERB,22,-22,50.66,-50.66
11498,been,VERB,18,-18,124.36,-124.36
11551,will,VERB,28,-28,193.45,193.45
11552,be,VERB,15,15,16.48,-16.48
11598,raised,VERB,21,21,145.08,145.08
11644,quoted,VERB,35,35,241.81,241.81
11649,sacred,VERB,25,25,172.72,-172.72
11702,referred,VERB,35,35,241.81,241.81
11792,sacred,VERB,25,25,172.72,-172.72
11794,ii,VERB,8,-8,55.27,55.27
11828,left,VERB,20,-20,138.18,-138.18
11836,Quoted,VERB,35,35,241.81,241.81
11837,ii,VERB,8,-8,55.27,55.27
11841,met,VERB,11,11,76.00,76.00
11858,see,VERB,5,5,34.54,-34.54
11879,are,VERB,8,-8,55.27,55.27
11895,agree,VERB,21,21,145.08,145.08
11904,descends,VERB,30,-30,207.26,207.26
11921,quoted,VERB,35,35,241.81,241.81
11928,invented,VERB,32,-32,221.08,221.08
12002,are,VERB,8,-8,55.27,55.27
12054,caves,VERB,29,29,200.35,-200.35
12085,passed,VERB,28,-28,193.45,193.45
12097,Winged,VERB,35,35,241.81,241.81
12138,works,VERB,37,37,255.62,255.62
12160,are,VERB,8,-8,55.27,55.27
12194,is,VERB,7,7,48.36,-48.36
12223,identified,VERB,40,-40,276.35,-276.35
12232,descending,VERB,45,45,310.89,-310.89
12257,descended,VERB,34,-34,234.90,-234.90
12320,revealed,VERB,38,-38,262.53,-262.53
12338,is,VERB,7,7,48.36,-48.36
12354,Phallicized,VERB,76,-76,525.07,525.07
12356,has,VERB,9,9,62.18,-62.18
12357,been,VERB,18,-18,124.36,-124.36
12364,explained,VERB,54,-54,373.07,373.07
12369,born,VERB,24,-24,165.81,165.81
12391,Coming,VERB,38,-38,262.53,-262.53
12425,rendered,VERB,27,27,186.54,-186.54
12428,quoted,VERB,35,35,241.81,241.81
12429,ii,VERB,8,-8,55.27,55.27
12449,is,VERB,7,7,48.36,-48.36
12475,is,VERB,7,7,48.36,-48.36
12493,called,VERB,31,31,214.17,-214.17
12538,called,VERB,31,31,214.17,-214.17
12550,i,VERB,4,-4,9.59,9.59
12552,named,VERB,20,-20,138.18,-138.18
12558,i,VERB,4,-4,9.59,9.59
12569,was,VERB,15,15,103.63,103.63
12578,are,VERB,8,-8,55.27,55.27
12596,refusing,VERB,43,43,297.08,297.08
12598,ii,VERB,8,-8,55.27,55.27
12604,standing,VERB,32,-32,221.08,221.08
12618,ruled,VERB,24,-24,165.81,165.81
12625,named,VERB,20,-20,138.18,-138.18
12630,believed,VERB,49,49,338.53,-338.53
12713,symbols,VERB,39,39,269.44,269.44
12755,are,VERB,8,-8,55.27,55.27
12846,ranges,VERB,25,25,172.72,-172.72
12851,called,VERB,31,31,214.17,-214.17
12968,making,VERB,45,45,310.89,-310.89
13008,means,VERB,17,17,117.45,117.45
13012,was,VERB,15,15,103.63,103.63
13013,named,VERB,20,-20,138.18,-138.18
13089,is,VERB,7,7,48.36,-48.36
13098,means,VERB,17,17,117.45,117.45
13120,left,VERB,20,-20,138.18,-138.18
13126,is,VERB,7,7,48.36,-48.36
13148,quoted,VERB,35,35,241.81,241.81
13176,attained,VERB,19,19,131.27,131.27
13222,discountenanced,VERB,54,-54,373.07,373.07
13230,became,VERB,35,35,241.81,241.81
13245,seen,VERB,7,7,48.36,-48.36
13290,were,VERB,17,17,117.45,117.45
13295,were,VERB,17,17,117.45,117.45
