Sequence,Complexity,Mode,Words,T1_Raw,T1_Plot,T2_Raw,T2_Plot
9087,Compound/Complex,Narrative,27,581,581,3608.87,-3608.87
9088,Compound/Complex,Narrative,41,738,-738,4481.52,4481.52
9089,Compound/Complex,Narrative,55,963,963,5787.13,5787.13
9090,Compound/Complex,Conversation,40,782,-782,4648.20,-4648.20
9091,Compound/Complex,Narrative,37,784,-784,4559.49,4559.49
9092,Simple,Narrative,12,225,225,1365.51,1365.51
9093,Compound/Complex,Narrative,56,1123,1123,6863.29,6863.29
9094,Simple,Narrative,23,469,469,2846.37,-2846.37
9095,Complex,Narrative,13,311,311,1999.85,1999.85
9096,Complex,Narrative,28,662,-662,4174.57,-4174.57
9097,Compound/Complex,Conversation,47,1020,-1020,6403.11,6403.11
9098,Compound/Complex,Narrative,42,887,887,5393.80,5393.80
9099,Compound/Complex,Narrative,42,782,-782,4497.43,4497.43
9100,Compound/Complex,Conversation,116,2166,-2166,13310.47,-13310.47
9101,Complex,Conversation,57,1193,1193,7421.13,7421.13
9102,Complex,Narrative,11,237,237,1541.78,1541.78
9103,Compound/Complex,Narrative,17,442,-442,2747.09,2747.09
9104,Compound/Complex,Narrative,46,932,-932,5646.70,-5646.70
9105,Simple,Narrative,7,108,-108,671.96,671.96
9106,Simple,Narrative,12,235,235,1396.19,-1396.19
9107,Complex,Narrative,21,422,-422,2496.92,-2496.92
9108,Compound/Complex,Narrative,40,845,845,5104.39,-5104.39
9109,Compound/Complex,Narrative,47,869,869,5311.42,5311.42
9110,Compound/Complex,Narrative,52,975,975,5984.68,-5984.68
9111,Compound/Complex,Conversation,52,991,991,6100.00,6100.00
9112,Compound/Complex,Narrative,34,588,-588,3569.75,3569.75
9113,Compound/Complex,Narrative,29,562,-562,3313.24,3313.24
9114,Compound/Complex,Narrative,49,863,863,4992.28,-4992.28
9115,Compound/Complex,Narrative,91,1889,1889,11692.61,-11692.61
9116,Compound/Complex,Narrative,39,727,727,4985.37,4985.37
9117,Compound/Complex,Conversation,20,392,-392,2599.11,2599.11
9118,Compound/Complex,Narrative,27,555,555,3493.67,3493.67
9119,Compound/Complex,Conversation,13,270,-270,1754.78,-1754.78
9120,Compound/Complex,Conversation,52,1069,1069,6677.49,6677.49
9121,Compound/Complex,Narrative,45,1085,1085,7111.12,7111.12
9122,Complex,Narrative,24,509,509,3243.30,3243.30
9123,Compound/Complex,Narrative,52,1117,1117,6989.69,6989.69
9124,Compound/Complex,Conversation,52,895,895,5135.51,5135.51
9125,Compound/Complex,Conversation,42,888,-888,5661.12,5661.12
9126,Compound/Complex,Narrative,17,277,277,1601.89,1601.89
9127,Compound/Complex,Conversation,31,721,721,4611.30,4611.30
9128,Compound/Complex,Conversation,39,710,-710,4130.77,-4130.77
9129,Compound/Complex,Conversation,33,697,697,4494.56,-4494.56
9131,Simple,Narrative,13,196,-196,1019.27,1019.27
9132,Simple,Narrative,14,214,-214,1300.32,-1300.32
9133,Compound/Complex,Narrative,32,591,591,3488.48,-3488.48
9134,Complex,Conversation,55,1054,-1054,6306.40,-6306.40
9135,Complex,Narrative,28,579,579,3689.08,3689.08
9136,Complex,Narrative,20,414,-414,2592.94,-2592.94
9137,Compound/Complex,Conversation,78,1542,-1542,9172.46,-9172.46
9138,Compound/Complex,Narrative,19,374,-374,2343.51,2343.51
9139,Compound/Complex,Narrative,39,684,-684,4356.34,-4356.34
9140,Simple,Narrative,11,302,-302,1953.90,1953.90
9141,Compound/Complex,Conversation,104,2079,2079,12738.77,-12738.77
9142,Compound/Complex,Narrative,22,412,-412,2690.74,-2690.74
9143,Compound/Complex,Narrative,46,1146,-1146,7424.54,-7424.54
9144,Complex,Narrative,31,707,707,4557.82,4557.82
9145,Complex,Narrative,19,488,-488,3035.73,3035.73
9146,Compound/Complex,Narrative,15,346,-346,2186.08,-2186.08
9147,Compound/Complex,Narrative,36,673,673,4222.32,-4222.32
9148,Compound/Complex,Narrative,26,550,-550,3465.91,3465.91
9149,Compound/Complex,Narrative,28,509,509,3169.20,3169.20
9150,Complex,Narrative,26,505,505,3272.68,-3272.68
9151,Compound/Complex,Narrative,41,789,789,4750.67,-4750.67
9152,Compound/Complex,Conversation,33,621,621,3828.73,-3828.73
9153,Compound/Complex,Narrative,63,1246,-1246,7687.90,7687.90
9154,Complex,Conversation,16,221,221,1164.85,-1164.85
9155,Compound/Complex,Conversation,30,641,641,3868.38,-3868.38
9156,Compound/Complex,Narrative,43,828,-828,4902.42,-4902.42
9157,Complex,Narrative,10,264,-264,1793.89,1793.89
9158,Compound/Complex,Conversation,62,1255,1255,7634.31,-7634.31
9159,Compound/Complex,Narrative,30,560,-560,3557.40,3557.40
9160,Compound/Complex,Conversation,81,1352,-1352,7798.46,-7798.46
9161,Compound/Complex,Conversation,120,2448,-2448,14710.94,-14710.94
9162,Compound/Complex,Conversation,87,1632,-1632,9829.16,9829.16
9163,Simple,Narrative,8,193,193,1311.30,1311.30
9164,Simple,Narrative,21,398,-398,2448.00,-2448.00
9165,Compound/Complex,Narrative,20,395,395,2513.09,2513.09
9166,Simple,Narrative,17,348,-348,2055.52,2055.52
9167,Compound/Complex,Conversation,45,1143,1143,7321.25,7321.25
9168,Simple,Narrative,20,342,-342,2156.61,-2156.61
9169,Compound/Complex,Narrative,29,551,551,3189.53,3189.53
9170,Simple,Narrative,5,133,133,918.86,-918.86
9171,Compound/Complex,Narrative,43,950,-950,5767.92,5767.92
9172,Compound/Complex,Narrative,67,1327,1327,7983.26,7983.26
9173,Compound/Complex,Narrative,24,487,487,2922.28,-2922.28
9174,Complex,Narrative,34,531,531,3187.03,3187.03
9175,Compound/Complex,Narrative,28,512,-512,3193.73,3193.73
9176,Compound/Complex,Narrative,56,1225,1225,7567.44,7567.44
9177,Complex,Narrative,23,509,509,3286.60,-3286.60
9178,Simple,Narrative,7,124,-124,856.69,-856.69
9179,Compound/Complex,Narrative,47,980,-980,6069.34,6069.34
9180,Complex,Narrative,30,508,-508,2869.45,2869.45
9181,Simple,Narrative,16,347,347,2234.79,-2234.79
9182,Complex,Narrative,21,480,-480,3068.47,-3068.47
9183,Compound/Complex,Narrative,42,820,-820,5003.83,5003.83
9184,Compound/Complex,Narrative,30,712,-712,4632.44,-4632.44
9185,Complex,Narrative,15,292,-292,1802.31,-1802.31
9186,Compound/Complex,Narrative,24,399,399,2313.95,2313.95
9187,Complex,Narrative,15,254,-254,1534.89,-1534.89
9188,Simple,Narrative,5,65,65,449.07,449.07
9189,Compound/Complex,Narrative,50,902,-902,5442.14,-5442.14
9190,Compound/Complex,Narrative,14,226,-226,1412.60,-1412.60
9191,Compound/Complex,Narrative,33,657,657,4258.84,-4258.84
9192,Compound/Complex,Narrative,44,1009,1009,6598.92,-6598.92
9193,Compound/Complex,Narrative,22,444,-444,2785.64,2785.64
9194,Compound/Complex,Conversation,48,1050,-1050,6704.88,-6704.88
9195,Compound/Complex,Narrative,30,745,745,4779.33,4779.33
9196,Compound/Complex,Narrative,21,450,-450,2779.64,2779.64
9197,Compound/Complex,Narrative,17,385,385,2498.13,-2498.13
9198,Compound/Complex,Narrative,17,351,351,2139.24,2139.24
9199,Simple,Narrative,11,219,219,1453.63,1453.63
9200,Complex,Narrative,8,154,-154,1041.86,1041.86
9201,Compound/Complex,Narrative,76,1569,1569,9405.57,9405.57
9202,Simple,Narrative,29,641,641,3885.32,3885.32
9203,Simple,Narrative,8,226,-226,1524.08,-1524.08
9204,Compound/Complex,Narrative,49,801,801,4753.68,4753.68
9205,Compound/Complex,Narrative,18,335,335,2022.55,-2022.55
9206,Compound/Complex,Narrative,50,1033,1033,6340.01,-6340.01
9207,Compound/Complex,Narrative,33,654,-654,3880.96,-3880.96
9208,Compound/Complex,Narrative,61,1397,1397,8608.48,-8608.48
9209,Compound/Complex,Narrative,38,929,929,5977.04,5977.04
9210,Compound/Complex,Narrative,16,294,-294,1678.72,-1678.72
9212,Complex,Narrative,20,393,393,2523.61,2523.61
9213,Compound/Complex,Narrative,24,469,469,2876.62,-2876.62
9214,Compound/Complex,Narrative,19,396,-396,2567.60,2567.60
9215,Complex,Narrative,26,444,-444,2757.99,2757.99
9216,Complex,Narrative,8,134,-134,787.14,787.14
9217,Compound/Complex,Narrative,81,1903,1903,11843.89,11843.89
9218,Compound/Complex,Narrative,24,500,-500,2964.59,-2964.59
