Sequence,Word,Tag,T1_Raw,T1_Plot,T2_Raw,T2_Plot
3746,preposterous,ADJ,56,-56,386.89,-386.89
3753,modern,ADJ,26,-26,179.63,179.63
3756,whole,ADJ,25,25,172.72,-172.72
3777,fit,ADJ,16,-16,110.54,-110.54
3784,gigantic,ADJ,45,45,310.89,-310.89
3796,ethereal,ADJ,22,-22,151.99,151.99
3802,little,ADJ,21,21,145.08,145.08
3813,modern,ADJ,26,-26,179.63,179.63
3817,welcome,ADJ,39,39,269.44,269.44
3833,Theologian,ADJ,39,39,269.44,269.44
3837,former,ADJ,34,-34,234.90,-234.90
3845,severe,ADJ,26,-26,179.63,179.63
3864,less,ADJ,14,-14,96.72,-96.72
3867,more,ADJ,18,-18,124.36,-124.36
3873,Darwinian,ADJ,37,37,255.62,255.62
3892,greatest,ADJ,26,-26,179.63,179.63
3902,uncertain,ADJ,30,-30,207.26,207.26
3913,geological,ADJ,59,59,407.62,407.62
3935,hundred,ADJ,29,29,200.35,-200.35
3941,utmost,ADJ,22,-22,151.99,151.99
3947,more,ADJ,18,-18,124.36,-124.36
3958,present,ADJ,26,-26,179.63,179.63
3959,purpose—the,ADJ,49,49,338.53,-338.53
3986,American,ADJ,33,33,227.99,227.99
3997,fifteen,ADJ,31,31,214.17,-214.17
4010,English,ADJ,33,33,227.99,227.99
4041,final,ADJ,26,-26,179.63,179.63
4049,Lemuro‐Atlantean,ADJ,50,-50,345.44,345.44
4058,Âryan,ADJ,9,9,62.18,-62.18
4062,present,ADJ,26,-26,179.63,179.63
4071,last,ADJ,13,13,89.81,89.81
4072,large,ADJ,27,27,186.54,-186.54
4076,great,ADJ,21,21,145.08,145.08
4105,secondary,ADJ,30,-30,207.26,207.26
4112,certain,ADJ,23,23,158.90,-158.90
4113,American,ADJ,33,33,227.99,227.99
4132,dubious,ADJ,40,-40,276.35,-276.35
4134,absurd,ADJ,35,35,241.81,241.81
4146,Secondary,ADJ,30,-30,207.26,207.26
4151,human,ADJ,22,-22,151.99,151.99
4165,valid,ADJ,34,-34,234.90,-234.90
4166,scientific,ADJ,46,-46,317.80,317.80
4176,Secondary,ADJ,30,-30,207.26,207.26
4189,conventional,ADJ,50,-50,345.44,345.44
4213,wide,ADJ,21,21,145.08,145.08
4223,learned,ADJ,24,-24,165.81,165.81
4268,sedimentary,ADJ,34,-34,234.90,-234.90
4275,calcareous,ADJ,44,-44,303.99,303.99
4305,organic,ADJ,36,-36,248.72,-248.72
4325,Cambrian,ADJ,46,-46,317.80,317.80
4339,maximum,ADJ,56,-56,386.89,-386.89
4370,main,ADJ,17,17,117.45,117.45
4389,geological,ADJ,59,59,407.62,407.62
4395,perfect,ADJ,40,-40,276.35,-276.35
4407,important,ADJ,40,-40,276.35,-276.35
4430,second,ADJ,23,23,158.90,-158.90
4432,Hyperborean,ADJ,50,-50,345.44,345.44
4437,tropical,ADJ,43,43,297.08,297.08
4447,vivid,ADJ,44,-44,303.99,303.99
4477,such,ADJ,20,-20,138.18,-138.18
4488,Californian,ADJ,50,-50,345.44,345.44
4506,short,ADJ,16,-16,110.54,-110.54
4509,southern,ADJ,24,-24,165.81,165.81
4511,unknown,ADJ,40,-40,276.35,-276.35
4513,northern,ADJ,23,23,158.90,-158.90
4519,natural,ADJ,24,-24,165.81,165.81
4535,blessed,ADJ,35,35,241.81,241.81
4572,short,ADJ,16,-16,110.54,-110.54
4617,perpetual,ADJ,48,-48,331.62,331.62
4620,never‐,ADJ,24,-24,165.81,165.81
4637,short,ADJ,16,-16,110.54,-110.54
4641,long,ADJ,24,-24,165.81,165.81
4651,blessed,ADJ,35,35,241.81,241.81
4654,eternal,ADJ,19,19,131.27,131.27
4676,ancient,ADJ,20,-20,138.18,-138.18
4684,climatic,ADJ,43,43,297.08,297.08
4726,green,ADJ,21,21,145.08,145.08
4739,same,ADJ,15,15,103.63,103.63
4746,strong,ADJ,26,-26,179.63,179.63
4764,tropical,ADJ,43,43,297.08,297.08
4771,unknown,ADJ,40,-40,276.35,-276.35
4785,following,ADJ,59,59,407.62,407.62
4790,consecutive,ADJ,51,51,352.35,-352.35
4810,certain,ADJ,23,23,158.90,-158.90
4811,important,ADJ,40,-40,276.35,-276.35
4819,subsequent,ADJ,54,-54,373.07,373.07
4826,various,ADJ,37,37,255.62,255.62
4827,additional,ADJ,37,37,255.62,255.62
4833,fuller,ADJ,36,-36,248.72,-248.72
4853,primeval,ADJ,56,-56,386.89,-386.89
4869,great,ADJ,21,21,145.08,145.08
4890,beauteous,ADJ,35,35,241.81,241.81
