Sequence,Word,Tag,T1_Raw,T1_Plot,T2_Raw,T2_Plot
4285,but,CONJ,20,-20,138.18,-138.18
4302,but,CONJ,20,-20,138.18,-138.18
4348,and,CONJ,10,-10,17.92,17.92
4360,and,CONJ,10,-10,17.92,17.92
4362,and,CONJ,10,-10,17.92,17.92
4364,and,CONJ,10,-10,17.92,17.92
4371,and,CONJ,10,-10,17.92,17.92
4373,and,CONJ,10,-10,17.92,17.92
4375,and,CONJ,10,-10,17.92,17.92
4388,And,CONJ,10,-10,17.92,17.92
4405,or,CONJ,8,-8,55.27,55.27
4413,and,CONJ,10,-10,17.92,17.92
4443,and,CONJ,10,-10,17.92,17.92
4452,or,CONJ,8,-8,55.27,55.27
4459,But,CONJ,20,-20,138.18,-138.18
4484,or,CONJ,8,-8,55.27,55.27
4493,and,CONJ,10,-10,17.92,17.92
4539,And,CONJ,10,-10,17.92,17.92
4552,and,CONJ,10,-10,17.92,17.92
4606,and,CONJ,10,-10,17.92,17.92
4611,and,CONJ,10,-10,17.92,17.92
4614,and,CONJ,10,-10,17.92,17.92
4638,or,CONJ,8,-8,55.27,55.27
4659,and,CONJ,10,-10,17.92,17.92
4688,and,CONJ,10,-10,17.92,17.92
4690,or,CONJ,8,-8,55.27,55.27
4697,and,CONJ,10,-10,17.92,17.92
4701,But,CONJ,20,-20,138.18,-138.18
4740,And,CONJ,10,-10,17.92,17.92
4750,and,CONJ,10,-10,17.92,17.92
4766,or,CONJ,8,-8,55.27,55.27
4799,or,CONJ,8,-8,55.27,55.27
4839,either,CONJ,16,-16,110.54,-110.54
4843,or,CONJ,8,-8,55.27,55.27
4908,and,CONJ,10,-10,17.92,17.92
4925,and,CONJ,10,-10,17.92,17.92
4930,and,CONJ,10,-10,17.92,17.92
4947,and,CONJ,10,-10,17.92,17.92
4959,and,CONJ,10,-10,17.92,17.92
4961,or,CONJ,8,-8,55.27,55.27
4968,and,CONJ,10,-10,17.92,17.92
4994,and,CONJ,10,-10,17.92,17.92
4998,and,CONJ,10,-10,17.92,17.92
5006,and,CONJ,10,-10,17.92,17.92
5033,and,CONJ,10,-10,17.92,17.92
5062,and,CONJ,10,-10,17.92,17.92
5118,and,CONJ,10,-10,17.92,17.92
5120,and,CONJ,10,-10,17.92,17.92
5151,and,CONJ,10,-10,17.92,17.92
5168,or,CONJ,8,-8,55.27,55.27
5212,and,CONJ,10,-10,17.92,17.92
5234,and,CONJ,10,-10,17.92,17.92
5239,and,CONJ,10,-10,17.92,17.92
5246,and,CONJ,10,-10,17.92,17.92
5256,but,CONJ,20,-20,138.18,-138.18
5264,and,CONJ,10,-10,17.92,17.92
5271,or,CONJ,8,-8,55.27,55.27
5281,and,CONJ,10,-10,17.92,17.92
5298,But,CONJ,20,-20,138.18,-138.18
5310,and,CONJ,10,-10,17.92,17.92
5329,and,CONJ,10,-10,17.92,17.92
5345,and,CONJ,10,-10,17.92,17.92
5347,and,CONJ,10,-10,17.92,17.92
5403,and,CONJ,10,-10,17.92,17.92
5413,and,CONJ,10,-10,17.92,17.92
5449,and,CONJ,10,-10,17.92,17.92
5470,and,CONJ,10,-10,17.92,17.92
5490,and,CONJ,10,-10,17.92,17.92
5496,and,CONJ,10,-10,17.92,17.92
5499,and,CONJ,10,-10,17.92,17.92
5521,but,CONJ,20,-20,138.18,-138.18
5527,and,CONJ,10,-10,17.92,17.92
5539,And,CONJ,10,-10,17.92,17.92
5552,Nor,CONJ,10,-10,69.09,69.09
5568,and,CONJ,10,-10,17.92,17.92
5581,and,CONJ,10,-10,17.92,17.92
5604,and,CONJ,10,-10,17.92,17.92
5613,and,CONJ,10,-10,17.92,17.92
5628,But,CONJ,20,-20,138.18,-138.18
5635,Nor,CONJ,10,-10,69.09,69.09
