Sequence,Word,Tag,T1_Raw,T1_Plot,T2_Raw,T2_Plot
196455,in,ADP,6,-6,12.48,-12.48
196465,of,ADP,14,-14,22.53,-22.53
196470,with,ADP,19,19,52.68,-52.68
196480,of,ADP,14,-14,22.53,-22.53
196481,as,ADP,5,5,14.45,-14.45
196484,on,ADP,5,5,13.54,13.54
196489,as,ADP,5,5,14.45,-14.45
196501,of,ADP,14,-14,22.53,-22.53
196515,in,ADP,6,-6,12.48,-12.48
196525,of,ADP,14,-14,22.53,-22.53
196536,across,ADP,24,-24,165.81,165.81
196537,from,ADP,28,-28,193.45,193.45
196549,of,ADP,14,-14,22.53,-22.53
196560,of,ADP,14,-14,22.53,-22.53
196566,of,ADP,14,-14,22.53,-22.53
196573,in,ADP,6,-6,12.48,-12.48
196575,as,ADP,5,5,14.45,-14.45
196576,in,ADP,6,-6,12.48,-12.48
196584,in,ADP,6,-6,12.48,-12.48
196588,of,ADP,14,-14,22.53,-22.53
196592,by,ADP,14,-14,96.72,-96.72
196594,of,ADP,14,-14,22.53,-22.53
196598,In,ADP,6,-6,12.48,-12.48
196607,while,ADP,26,-26,179.63,179.63
196608,in,ADP,6,-6,12.48,-12.48
196620,from,ADP,28,-28,193.45,193.45
196623,of,ADP,14,-14,22.53,-22.53
196632,of,ADP,14,-14,22.53,-22.53
196643,for,ADP,19,19,48.73,-48.73
196655,as,ADP,5,5,14.45,-14.45
196656,with,ADP,19,19,52.68,-52.68
196659,of,ADP,14,-14,22.53,-22.53
196661,After,ADP,20,-20,138.18,-138.18
196670,of,ADP,14,-14,22.53,-22.53
196682,of,ADP,14,-14,22.53,-22.53
196688,of,ADP,14,-14,22.53,-22.53
196691,of,ADP,14,-14,22.53,-22.53
196701,between,ADP,30,-30,207.26,207.26
196711,because,ADP,34,-34,234.90,-234.90
196713,of,ADP,14,-14,22.53,-22.53
196725,of,ADP,14,-14,22.53,-22.53
196728,in,ADP,6,-6,12.48,-12.48
196738,in,ADP,6,-6,12.48,-12.48
196745,On,ADP,5,5,13.54,13.54
196751,of,ADP,14,-14,22.53,-22.53
196758,of,ADP,14,-14,22.53,-22.53
196761,of,ADP,14,-14,22.53,-22.53
196768,of,ADP,14,-14,22.53,-22.53
196776,on,ADP,5,5,13.54,13.54
196780,on,ADP,5,5,13.54,13.54
196788,On,ADP,5,5,13.54,13.54
196794,by,ADP,14,-14,96.72,-96.72
196798,of,ADP,14,-14,22.53,-22.53
196803,on,ADP,5,5,13.54,13.54
196812,of,ADP,14,-14,22.53,-22.53
196819,of,ADP,14,-14,22.53,-22.53
196831,from,ADP,28,-28,193.45,193.45
196841,of,ADP,14,-14,22.53,-22.53
196851,at,ADP,3,3,9.13,9.13
196854,of,ADP,14,-14,22.53,-22.53
196857,of,ADP,14,-14,22.53,-22.53
196866,of,ADP,14,-14,22.53,-22.53
