Sequence,Word,Tag,T1_Raw,T1_Plot,T2_Raw,T2_Plot
282,Part,NOUN,21,21,145.08,145.08
283,II,NOUN,8,-8,55.27,55.27
285,Evolution,NOUN,41,41,283.26,283.26
287,Symbolism,NOUN,52,-52,359.26,359.26
288,Section,NOUN,22,-22,151.99,151.99
289,I.,NOUN,4,-4,27.64,27.64
290,Symbolism,NOUN,52,-52,359.26,359.26
292,Ideographs,NOUN,53,53,366.16,-366.16
293,Section,NOUN,22,-22,151.99,151.99
294,II,NOUN,8,-8,55.27,55.27
296,Mystery,NOUN,19,19,131.27,131.27
297,Language,NOUN,43,43,297.08,297.08
300,Keys,NOUN,20,-20,138.18,-138.18
301,Section,NOUN,22,-22,151.99,151.99
302,III,NOUN,12,-12,82.91,-82.91
304,Substance,NOUN,39,39,269.44,269.44
306,Divine,NOUN,32,-32,221.08,221.08
307,Thought,NOUN,30,-30,207.26,207.26
308,Section,NOUN,22,-22,151.99,151.99
309,IV,NOUN,19,19,131.27,131.27
310,Chaos,NOUN,20,-20,138.18,-138.18
311,Theos,NOUN,12,-12,82.91,-82.91
312,Kosmos,NOUN,37,37,255.62,255.62
313,Section,NOUN,22,-22,151.99,151.99
314,V.,NOUN,15,15,103.63,103.63
317,Hidden,NOUN,23,23,158.90,-158.90
318,Deity,NOUN,12,-12,82.91,-82.91
320,Symbols,NOUN,39,39,269.44,269.44
322,Glyphs,NOUN,39,39,269.44,269.44
323,Section,NOUN,22,-22,151.99,151.99
324,VI,NOUN,19,19,131.27,131.27
326,Mundane,NOUN,27,27,186.54,-186.54
327,Egg,NOUN,25,25,172.72,-172.72
328,Section,NOUN,22,-22,151.99,151.99
329,VII,NOUN,23,23,158.90,-158.90
331,Days,NOUN,11,11,76.00,76.00
333,Nights,NOUN,26,-26,179.63,179.63
335,Brahmâ,NOUN,34,-34,234.90,-234.90
336,Section,NOUN,22,-22,151.99,151.99
337,VIII,NOUN,27,27,186.54,-186.54
339,Lotus,NOUN,19,19,131.27,131.27
342,Universal,NOUN,44,-44,303.99,303.99
343,Symbol,NOUN,36,-36,248.72,-248.72
344,Section,NOUN,22,-22,151.99,151.99
345,IX,NOUN,22,-22,151.99,151.99
347,Moon,NOUN,17,17,117.45,117.45
348,Deus,NOUN,15,15,103.63,103.63
349,Lunus,NOUN,22,-22,151.99,151.99
350,Phœbe,NOUN,32,-32,221.08,221.08
351,Section,NOUN,22,-22,151.99,151.99
352,X,NOUN,18,-18,124.36,-124.36
353,Tree,NOUN,8,-8,55.27,55.27
354,Serpent,NOUN,26,-26,179.63,179.63
356,Crocodile,NOUN,45,45,310.89,-310.89
357,Worship,NOUN,42,-42,290.17,-290.17
358,Section,NOUN,22,-22,151.99,151.99
359,XI,NOUN,22,-22,151.99,151.99
360,Demon,NOUN,21,21,145.08,145.08
362,Deus,NOUN,15,15,103.63,103.63
363,Inversus,NOUN,38,-38,262.53,-262.53
364,Section,NOUN,22,-22,151.99,151.99
365,XII,NOUN,26,-26,179.63,179.63
367,Theogony,NOUN,26,-26,179.63,179.63
370,Creative,NOUN,37,37,255.62,255.62
371,Gods,NOUN,24,-24,165.81,165.81
372,Section,NOUN,22,-22,151.99,151.99
373,XIII,NOUN,30,-30,207.26,207.26
375,Seven,NOUN,22,-22,151.99,151.99
376,Creations,NOUN,29,29,200.35,-200.35
377,Section,NOUN,22,-22,151.99,151.99
378,XIV,NOUN,37,37,255.62,255.62
381,Elements,NOUN,25,25,172.72,-172.72
382,Section,NOUN,22,-22,151.99,151.99
383,XV,NOUN,33,33,227.99,227.99
385,Kwan‐Shi‐Yin,NOUN,47,47,324.71,-324.71
387,Kwan‐Yin,NOUN,36,-36,248.72,-248.72
388,Part,NOUN,21,21,145.08,145.08
389,III,NOUN,12,-12,82.91,-82.91
390,Addenda,NOUN,25,25,172.72,-172.72
392,Occult,NOUN,32,-32,221.08,221.08
394,Modern,NOUN,26,-26,179.63,179.63
395,Science,NOUN,27,27,186.54,-186.54
396,Section,NOUN,22,-22,151.99,151.99
398,Reasons,NOUN,19,19,131.27,131.27
401,Addenda,NOUN,25,25,172.72,-172.72
402,Section,NOUN,22,-22,151.99,151.99
403,II,NOUN,8,-8,55.27,55.27
405,Physicists,NOUN,43,43,297.08,297.08
409,Blind,NOUN,33,33,227.99,227.99
410,Man,NOUN,13,13,89.81,89.81
412,Buff,NOUN,41,41,283.26,283.26
414,Lumen,NOUN,24,-24,165.81,165.81
415,Sit,NOUN,8,-8,55.27,55.27
416,Corpus,NOUN,37,37,255.62,255.62
417,Nec,NOUN,11,11,76.00,76.00
418,Non,NOUN,7,7,48.36,-48.36
419,Section,NOUN,22,-22,151.99,151.99
420,III,NOUN,12,-12,82.91,-82.91
422,Gravitation,NOUN,51,51,352.35,-352.35
424,Law,NOUN,19,19,131.27,131.27
425,Section,NOUN,22,-22,151.99,151.99
426,IV,NOUN,19,19,131.27,131.27
428,Theories,NOUN,22,-22,151.99,151.99
430,Rotation,NOUN,21,21,145.08,145.08
432,Science,NOUN,27,27,186.54,-186.54
