Sequence,Word,Tag,T1_Raw,T1_Plot,T2_Raw,T2_Plot
51196,earth,ADV,13,13,89.81,89.81
51198,heaven,ADV,25,25,172.72,-172.72
51230,where,ADV,21,21,145.08,145.08
51317,already,ADV,23,23,158.90,-158.90
51410,not,ADV,6,-6,15.83,15.83
51416,there,ADV,12,-12,82.91,-82.91
51439,even,ADV,19,19,131.27,131.27
51481,too,ADV,7,7,48.36,-48.36
51482,far,ADV,18,-18,124.36,-124.36
51491,yet,ADV,2,-2,13.82,13.82
51512,retrospectively,ADV,68,-68,469.80,469.80
51513,when,ADV,17,17,117.45,117.45
51530,also,ADV,15,15,103.63,103.63
51602,nearly,ADV,17,17,117.45,117.45
51678,as,ADV,5,5,14.45,-14.45
51679,scientifically,ADV,62,-62,428.34,-428.34
51684,now,ADV,15,15,103.63,103.63
51702,nearly,ADV,17,17,117.45,117.45
51713,finally,ADV,33,33,227.99,227.99
51727,only,ADV,12,-12,82.91,-82.91
51742,now,ADV,15,15,103.63,103.63
51745,How,ADV,17,17,117.45,117.45
51775,ago,ADV,17,17,117.45,117.45
51782,separately,ADV,35,35,241.81,241.81
51813,far,ADV,18,-18,124.36,-124.36
51814,more,ADV,18,-18,124.36,-124.36
51835,not,ADV,6,-6,15.83,15.83
51836,possibly,ADV,47,47,324.71,-324.71
51846,independently,ADV,46,-46,317.80,317.80
51935,not,ADV,6,-6,15.83,15.83
51939,only,ADV,12,-12,82.91,-82.91
51949,not,ADV,6,-6,15.83,15.83
51998,so,ADV,6,-6,41.45,41.45
51999,here,ADV,11,11,76.00,76.00
52038,most,ADV,16,-16,110.54,-110.54
52044,most,ADV,16,-16,110.54,-110.54
52055,perpetually,ADV,55,55,379.98,379.98
52090,here,ADV,11,11,76.00,76.00
52099,together,ADV,28,-28,193.45,193.45
52207,as,ADV,5,5,14.45,-14.45
52208,well,ADV,25,25,172.72,-172.72
52219,gradually,ADV,46,-46,317.80,317.80
52223,else,ADV,12,-12,82.91,-82.91
52243,still,ADV,22,-22,151.99,151.99
52246,when,ADV,17,17,117.45,117.45
52277,allegorically,ADV,65,65,449.07,449.07
52318,now,ADV,15,15,103.63,103.63
52372,symbolically,ADV,64,-64,442.16,-442.16
52373,as,ADV,5,5,14.45,-14.45
52374,well,ADV,25,25,172.72,-172.72
52376,cosmogonically,ADV,71,71,490.52,-490.52
52394,extremely,ADV,43,43,297.08,297.08
52431,so,ADV,6,-6,41.45,41.45
52448,hence,ADV,16,-16,110.54,-110.54
52466,not,ADV,6,-6,15.83,15.83
52467,really,ADV,22,-22,151.99,151.99
52509,Here,ADV,11,11,76.00,76.00
52510,again,ADV,22,-22,151.99,151.99
52516,ness,ADV,9,9,62.18,-62.18
52531,not,ADV,6,-6,15.83,15.83
52538,not,ADV,6,-6,15.83,15.83
52543,even,ADV,19,19,131.27,131.27
52561,still,ADV,22,-22,151.99,151.99
52579,only,ADV,12,-12,82.91,-82.91
52604,so,ADV,6,-6,41.45,41.45
52630,First,ADV,24,-24,165.81,165.81
52634,then,ADV,8,-8,55.27,55.27
52711,well,ADV,25,25,172.72,-172.72
52713,now,ADV,15,15,103.63,103.63
52715,around,ADV,23,23,158.90,-158.90
52839,previously,ADV,56,-56,386.89,-386.89
52874,ever,ADV,22,-22,151.99,151.99
52880,confidently,ADV,45,45,310.89,-310.89
52927,chemically,ADV,50,-50,345.44,345.44
52946,gravely,ADV,42,-42,290.17,-290.17
52970,philosophically,ADV,82,-82,566.52,-566.52
53023,Yet,ADV,2,-2,13.82,13.82
53040,Very,ADV,21,21,145.08,145.08
53065,Thus,ADV,13,13,89.81,89.81
53078,very,ADV,21,21,145.08,145.08
53103,wholly,ADV,31,31,214.17,-214.17
53132,yet,ADV,2,-2,13.82,13.82
53136,so,ADV,6,-6,41.45,41.45
53148,most,ADV,16,-16,110.54,-110.54
53181,not,ADV,6,-6,15.83,15.83
53182,only,ADV,12,-12,82.91,-82.91
53188,even,ADV,19,19,131.27,131.27
53246,as,ADV,5,5,14.45,-14.45
53268,most,ADV,16,-16,110.54,-110.54
53277,only,ADV,12,-12,82.91,-82.91
53316,never,ADV,24,-24,165.81,165.81
53326,then,ADV,8,-8,55.27,55.27
53329,not,ADV,6,-6,15.83,15.83
53341,when,ADV,17,17,117.45,117.45
53393,already,ADV,23,23,158.90,-158.90
